Player,Year
Tyrese Haliburton,2024
Damian Lillard,2024
Giannis Antetokounmpo,2024
Jayson Tatum,2024
Joel EmbiidI,2024
Jalen Brunson,2024
Tyrese Maxey,2024
Donovan Mitchell,2024
Trae Young,2024
Paolo Banchero,2024
Scottie Barnes,2024
Jaylen Brown,2024
Julius Randle,2024
Bam Adebayo,2024
Luka Don?i?,2024
Shai Gilgeous-Alexander,2024
Kevin Durant,2024
LeBron James,2024
Nikola Joki?,2024
Devin Booker,2024
Stephen Curry,2024
Anthony Edwards,2024
Paul George,2024
Kawhi Leonard,2024
Karl-Anthony Towns,2024
Anthony Davis,2024
Kyrie Irving,2023
Donovan Mitchell,2023
Giannis Antetokounmpo,2023
Kevin Durant,2023
Jayson Tatum,2023
Jaylen Brown,2023
DeMar DeRozan,2023
Tyrese Haliburton,2023
Jrue Holiday,2023
Julius Randle,2023
Bam Adebayo,2023
Joel Embiid,2023
Pascal Siakam,2023
Stephen Curry,2023
Luka Don?i?,2023
Nikola Joki?,2023
LeBron James,2023
Zion Williamson,2023
Shai Gilgeous-Alexander,2023
Damian Lillard,2023
Ja Morant,2023
Paul George,2023
Jaren Jackson Jr.,2023
Lauri Markkanen,2023
Domantas Sabonis,2023
Anthony Edwards,2023
De'Aaron Fox,2023
Trae Young,2022
DeMar DeRozan,2022
Joel Embiid,2022
Kevin Durant,2022
Giannis Antetokounmpo,2022
LaMelo Ball,2022
Darius Garland,2022
James Harden,2022
Zach LaVine,2022
Fred VanVleet,2022
Jimmy Butler,2022
Khris Middleton,2022
Jayson Tatum,2022
Jarrett Allen,2022
Stephen Curry,2022
Ja Morant,2022
Nikola Joki?,2022
LeBron James,2022
Andrew Wiggins,2022
Devin Booker,2022
Luka Don?i?,2022
Donovan Mitchell,2022
Dejounte Murray,2022
Chris Paul,2022
Draymond Green,2022
Rudy Gobert,2022
Karl-Anthony Towns,2022
Bradley Beal,2021
Kyrie Irving,2021
Giannis Antetokounmpo,2021
Kevin Durant,2021
Joel Embiid,2021
Jaylen Brown,2021
James Harden,2021
Zach LaVine,2021
Ben Simmons,2021
Julius Randle,2021
Domantas Sabonis,2021
Jayson Tatum,2021
Nikola Vu?evi?,2021
Stephen Curry,2021
Luka Don?i?,2021
LeBron James,2021
Kawhi Leonard,2021
Nikola Joki?,2021
Devin Booker,2021
Mike Conley,2021
Damian Lillard,2021
Donovan Mitchell,2021
Chris Paul,2021
Anthony Davis,2021
Paul George,2021
Zion Williamson,2021
Rudy Gobert,2021
Kemba Walker,2020
Trae Young,2020
Giannis Antetokounmpo,2020
Pascal Siakam,2020
Joel Embiid,2020
Kyle Lowry,2020
Ben Simmons,2020
Jimmy Butler,2020
Khris Middleton,2020
Bam Adebayo,2020
Jayson Tatum,2020
Domantas Sabonis,2020
James Harden,2020
Luka Don?i?,2020
LeBron James,2020
Kawhi Leonard,2020
Anthony Davis,2020
Chris Paul,2020
Russell Westbrook,2020
Damian Lillard,2020
Donovan Mitchell,2020
Brandon Ingram,2020
Nikola Joki?,2020
Rudy Gobert,2020
Devin Booker,2020
Paul George,2020
Zion Williamson,2020
Rudy Gobert,2020
